School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
Retention School,18922,Sri Kumaran Children's Home - CBSE,,2024,2024-05-27 00:00:00,"Ei ASSET, Ei CARES, Ei Mindspark",Regular,"IN-2022002113, IN-2022002114, IN-2022002115",Approved By Logistic Team,2730297,2909913,1103293,1643,672,629137,466,1350,997867,471,2119,0,"Full Payment, Installments",4,2024-06-15 00:00:00,"2000-01-01 00:00:00, 2024-06-15 00:00:00","0, 157284, 294371","2000-01-01 00:00:00, 2024-08-15 00:00:00","0, 157284, 294371","2000-01-01 00:00:00, 2024-10-15 00:00:00","0, 157284, 294371","2000-01-01 00:00:00, 2024-12-15 00:00:00","0, 157284, 294371","110128, 113983, 62522",2024-06-11 00:00:00,"2024-06-11 00:00:00, 2024-12-20 00:00:00, 2025-01-23 00:00:00","1103293, 1177484, 629136","1077763, 562697, 991148","-14262, 2017, 3917","0.3056, 0.5392, 0.5781000000000001","0.3056, 0.4892, 0.5781000000000001",,0.05,,,"0, Summer Round",Online,"0, 4",MCQ,,Online,Online,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022677684, 22028000022677728, 22028000022677776",51788000002728654,"zcrm_51788000269883682, zcrm_51788000269883813, zcrm_51788000269883941",2024-05-27 00:00:00,vineet.upadhye_ei,hakim.kanchwala_eiindia1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,"2024-06-06 17:06:43, 2024-06-07 13:57:53, 2024-06-07 14:36:21",Mrs. Pushkala Parasuraman,Principal,pushkala.parasuraman@kumarans.org,+919880285585,cbse@kumarans.org,Mrs. Pushkala Parasuraman,pushkala.parasuraman@kumarans.org,+919880285585,,,,0,"Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road",,560109,"Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road",Bengaluru,Karnataka,560109,BLRS02358G,"Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road","Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road"
New School,19028,"Delhi Public School, R.K. Puram",,2024,"2024-04-04 00:00:00, 2024-08-21 00:00:00, 2024-10-12 00:00:00","Ei ASSET, Ei Teacher Training",Regular,"190282024.00, IN-2022002449, IN-2022002518",Approved By Logistic Team,400000,472000,0,1785,0,0,0,0,0,0,0,"0, 400000","Full Payment, Installments","1, 3","2024-04-04 00:00:00, 2024-10-12 00:00:00","2000-01-01 00:00:00, 2024-04-04 00:00:00, 2024-08-21 00:00:00",0,"2000-01-01 00:00:00, 2024-04-04 00:00:00, 2024-11-15 00:00:00",0,"2000-01-01 00:00:00, 2024-04-04 00:00:00, 2024-12-23 00:00:00",0,"2000-01-01 00:00:00, 2024-04-04 00:00:00",0,0,2024-04-04 00:00:00,2024-04-04 00:00:00,"0, 400000",0,"0, 400000","0, 1","0, 1",0,0,0,0,"0, Summer Round, Winter Round","OMR, Online",0,MCQ,,,,CBSE,New Delhi,Delhi,North,Delhi/Haryana,National Sales,"2024-04-01 00:00:00, 2024-04-04 00:00:00, 2024-10-01 00:00:00","2024-04-04 00:00:00, 2025-03-31 00:00:00","Regular School: Active school with student count and rate per student defined, Regular School: Active school with teacher count and rate per teacher defined","190282024, 22028000024247204, 22028000025435300",51788000002728655,zcrm_51788000272998201,"2024-04-04 00:00:00, 2024-08-21 00:00:00, 2024-10-12 00:00:00","maruf.shaikh1, maruf.shaikh@ei.study, vibhor.tyagi_ei","maruf.shaikh1, maruf.shaikh@ei.study, sourabh.mehta_eiindia","maruf.shaikh@ei.study, vibhor.tyagi@ei.study","Maruf shaikh, Vibhor tyagi",Vibhor Tyagi,"Chaitanya Kolluri, Vibhor Tyagi","2024-04-04 00:00:00, 2024-08-21 16:03:32, 2024-10-12 11:36:50","Mr. Mukesh Kumar, Padma Srinvisan",Principal,maruf.shaikh@ei.study,"+919016039311, +919811685099",principal@dpsrkp.net,Mr. Mukesh Kumar,maruf.shaikh@ei.study,+919811685099,Mr. Mukesh Kumar,maruf.shaikh@ei.study,+919811685099,"0, 107000","Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022",,110022,"Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022",New Delhi,DELHI,110022,,"Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022","Sector-XII, R.K. Puram, ,New Delhi,Delhi - 110022"
Retention School,19282,Sri Kumaran Children^s Home,,2024,"2024-05-27 00:00:00, 2024-08-06 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022002103, IN-2022002403",Approved By Logistic Team,543686,596694,249199,498,500,0,0,,294487,139,2119,0,"Full Payment, Installments",4,2024-08-06 00:00:00,"2000-01-01 00:00:00, 2024-06-15 00:00:00","0, 86874","2000-01-01 00:00:00, 2024-08-15 00:00:00","0, 86874","2000-01-01 00:00:00, 2024-10-15 00:00:00","0, 86874","2000-01-01 00:00:00, 2024-12-15 00:00:00","0, 86874","0, 45893",2024-08-20 00:00:00,"2024-08-20 00:00:00, 2024-12-20 00:00:00","249199, 347496","547082, 78187","-245479, 171012","0.3056, 0.583","0.3056, 0.583",,,,,"0, Summer Round",Online,0,MCQ,,,Online,State Board,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022677168, 22028000023978072",51788000002728657,"zcrm_51788000270080153, zcrm_51788000272593001","2024-05-27 00:00:00, 2024-08-06 00:00:00","aruna_ei, vineet.upadhye_ei",mitul.patel_ei1,"aruna@ei.study, vineet.upadhye@ei.study","Aruna, Vineet upadhye",Aruna,,"2024-06-06 17:20:39, 2024-08-13 10:28:39",Mrs. Nandashree Natarajan,Principal,Nandashree.Natarajan@kumarans.org,+919980922071,jasper.jessie@ei.study,Mrs. Nandashree Natarajan,Nandashree.Natarajan@kumarans.org,+919980922071,,,,0,"6Th Main Tata Silk Farm,Basavangudi, Bengaluru, Karnataka",,560004,"6Th Main Tata Silk Farm,Basavangudi, Bengaluru, Karnataka",Bengaluru,Karnataka,560004,BLRS02358G,"6Th Main Tata Silk Farm,Basavangudi, Bengaluru, Karnataka","6Th Main Tata Silk Farm,Basavangudi, Bengaluru, Karnataka"
Key Account,1933,"Anand Niketan, Shilaj",,2024,2024-04-24 00:00:00,Ei CARES,Regular,IN-2022001958,Approved By Logistic Team,1739243,1739243,0,0,,1739243,1023,1700,0,0,,0,Installments,2,,2024-04-30 00:00:00,869622,2024-09-14 00:00:00,869622,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,261226,2024-05-06 00:00:00,2024-12-20 00:00:00,1739244,1568380,-90362,0.3461,0.3461,,,,,0,,4,MCQ,Printing By EI,OMR,,ICSE,AHMEDABAD,Gujarat,West,Gujarat,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022235360,51788000002728410,zcrm_51788000267879228,2024-04-24 00:00:00,nakul.swamy_ei,fagun.saraiya_eiindia1,nakul.swamy@ei.study,Nakul swamy,Heena Kumar,,2024-04-25 12:48:15,Mrs. Lamiya Shums,School Owner,lamiya.shums@anandniketan.edu.in,+919737047625,anshilaj@anandniketan.edu.in,,,,,,,70000,"Plot no. 495, Thaltej-Shilaj Road, Near Ambli Road Railway Crossing, Shilaj,",,380054,"Plot no. 495, Thaltej-Shilaj Road, Near Ambli Road Railway Crossing, Shilaj,",AHMEDABAD,GUJARAT,380054,AHMU00056A,"Plot no. 495, Thaltej-Shilaj Road, Near Ambli Road Railway Crossing, Shilaj,","Plot no. 495, Thaltej-Shilaj Road, Near Ambli Road Railway Crossing, Shilaj,"
New School,195591,Poorna Prajna High School,Dropped,2024,2024-11-19 00:00:00,Ei ASSET,Regular,IN-2022002595,Approved By Logistic Team,224028,224028,224028,280,800,0,0,,0,0,,0,Full Payment,,2024-11-20 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-11-26 00:00:00,2024-11-26 00:00:00,224028,219520,4508,0.46659999999999996,0.46659999999999996,,,,,Winter Round,OMR,0,MCQ,,,,State Board,Mumbai,Maharashtra,West,Mumbai,National Sales,2024-11-25 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000026291472,51788000002732868,zcrm_51788000270632183,2024-11-19 00:00:00,shahista.shaikh_ei,hakim.kanchwala_eiindia1,shahista.shaikh@ei.study,Shahista shaikh,Manjeetsingh Ladhad,Saloni Shah,2024-11-23 23:09:09,Sarvjana Udapa,Other,pphsdahisar68@ppec.edu.in,+919769998810,poornaprajnaec@gmail.com,Sarvjana Udapa,sarvajna.udupa@poornaprajna.org,+919769998810,Vandana Gada,pphsdahisar68@ppec.edu.in,+918879958868,100000,"Bharucha Road, Dahisar East",,400068,"Bharucha Road, Dahisar East",Mumbai,Maharashtra,400068,,"Bharucha Road, Dahisar East","Bharucha Road, Dahisar East"
Retention School,19872,"Padma Seshadri Bala Bhavan Senior Secondary School, K.K.Nagar",,2024,2024-05-31 00:00:00,Ei ASSET,Regular,IN-2022002131,Approved By Logistic Team,1060894,1060894,1060894,2122,500,0,0,,0,0,,0,Installments,2,,2024-06-10 00:00:00,318268,2024-09-01 00:00:00,742626,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,106089,2024-07-09 00:00:00,2024-10-25 00:00:00,1060894,954799,6,0.6667000000000001,0.6667000000000001,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022755124,51788000002728663,zcrm_51788000270168129,2024-05-31 00:00:00,nisha.murali_eiindia,hakim.kanchwala_eiindia1,nisha.murali@ei.study,Nisha murali,Nisha Murali,,2024-06-07 18:20:01,Mr. Mani Narayanan,Other,sragmhradmn@psbbschools.ac.in,+919840411695,psbbkkn@psbbschools.ac.in,,principalkkn@psbbschools.ac.in,,,,,0,"No.29, Alagiri Sami Salai, K.K.Nagar,",,600078,"No.29, Alagiri Sami Salai, K.K.Nagar,",Chennai,Tamil Nadu,600078,CHEP07125G,"No.29, Alagiri Sami Salai, K.K.Nagar,","No.29, Alagiri Sami Salai, K.K.Nagar,"
1-year School,199355,Shiv Ashish School,Dropped,2024,2024-10-23 00:00:00,Ei ASSET,Regular,IN-2022002546,Approved By Logistic Team,79380,79380,79380,147,540,0,0,,0,0,,0,Full Payment,,2024-11-11 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-11-29 00:00:00,2024-11-29 00:00:00,79380,79380,0,0.64,0.64,,,,,Winter Round,OMR,0,MCQ,,,,State Board,Ahmedabad,Gujarat,West,Gujarat,National Sales,2024-10-23 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025686032,51788000002732901,zcrm_51788000275435737,2024-10-23 00:00:00,nakul.swamy_ei,fagun.saraiya_eiindia1,nakul.swamy@ei.study,Nakul swamy,Atufa Nagori,Pooja Joshi,2024-11-11 17:41:49,Ms. Ashmita Pandya,Other,ashmitap@shivashish.com,+919898159928,ashmitap@shivashish.com,Ms. Namrata Sheth,namratas@shivashish.com,+919824180783,Ms. Ashmita Pandya,ashmitap@shivashish.com,+919265056802,30000,"Inside Sterling City, Bopal,",,380058,"Inside Sterling City, Bopal,",Ahmedabad,Gujarat,380058,AHMS17482D,"Inside Sterling City, Bopal,","Inside Sterling City, Bopal,"
Retention School,19966,Padma Seshadri Bala Bhavan Senior Secondary School,,2024,2024-05-31 00:00:00,Ei ASSET,Regular,IN-2022002130,Approved By Logistic Team,59012,59012,59012,118,500,0,0,,0,0,,0,Installments,2,,2024-06-10 00:00:00,17704,2024-09-01 00:00:00,41308,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,1756,2024-07-30 00:00:00,2024-07-30 00:00:00,59012,15798,41458,0.6666,0.6666,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022755084,51788000002728664,zcrm_51788000270168257,2024-05-31 00:00:00,nisha.murali_eiindia,hakim.kanchwala_eiindia1,nisha.murali@ei.study,Nisha murali,Nisha Murali,,2024-06-07 18:27:27,Mr. Mani Narayanan,Other,sragmhradmn@psbbschools.ac.in,+919840411695,psbbmain@yahoo.com,,psbbmain@yahoo.com,,,,,0,"No.15, Lake 1St Main Road,Nungambakkam, Chennai, Tamil Nadu",,600034,"No.15, Lake 1St Main Road,Nungambakkam, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,CHEP07125G,"No.15, Lake 1St Main Road,Nungambakkam, Chennai, Tamil Nadu","No.15, Lake 1St Main Road,Nungambakkam, Chennai, Tamil Nadu"
Retention School,2009619,Happy Days School,,2024,2024-07-22 00:00:00,Ei CARES,Regular,IN-2022002364,Approved By Logistic Team,170483,170483,0,0,,170483,262,651,0,0,,0,Installments,3,,2024-07-24 00:00:00,57964,2024-09-25 00:00:00,56259,2024-11-30 00:00:00,56259,2000-01-01 00:00:00,0,5626,2024-09-10 00:00:00,2025-01-31 00:00:00,170482,153434,11422,0.6385000000000001,0.5885,,,,0.05,0,,2,MCQ + Subjective,Printing By EI,OMR,,CBSE,Shivpuri,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2024-07-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023674080,51788000002766018,zcrm_51788000272113181,2024-07-22 00:00:00,pooja.joshi_eiindia1,fagun.saraiya_eiindia1,pooja.joshi@ei.study,Pooja joshi,Rohit Kumar,,2024-07-30 10:29:06,Vatsa Ma'am,Principal,infohappydaysschool@gmail.com,+919407230330,infohappydays@gmail.com,,,,,,,0,"Katha Mill, A B Road Shivpuri Madhya Pradesh",,473638,"Katha Mill, A B Road Shivpuri Madhya Pradesh",Shivpuri,Madhya Pradesh,473638,BPLS23960G,"Katha Mill, A B Road Shivpuri Madhya Pradesh","Katha Mill, A B Road Shivpuri Madhya Pradesh"
1-year School,20191,Sishya School,,2024,2024-04-29 00:00:00,"Ei ASSET,Ei CARES,Ei Mindspark",Regular,IN-2022001970,Approved By Logistic Team,4383441,4784194,764356,699,1093,1392682,796,1750,2226403,1001,2224,0,Installments,3,,2024-05-10 00:00:00,1435258,2024-07-10 00:00:00,1674468,2024-11-11 00:00:00,1674468,2000-01-01 00:00:00,0,10701,2024-06-15 00:00:00,2025-03-24 00:00:00,4784194,4724853,48640,0.271,0.121,,0.05,0.05,0.05,Winter Round,OMR,4,MCQ,,Online,Online,CBSE,Hosur,Tamil Nadu,South,Karnataka/Kerala,National Sales,2024-04-15 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022258928,51788000002728666,zcrm_51788000268543049,2024-04-29 00:00:00,aji.thomas_eiindia,mitul.patel_ei1,aji.thomas@ei.study,Aji thomas,Aruna,,2024-04-30 17:30:34,Dr. Vasanthi Thiagarajan,Principal,vasanthi_thiag@yahoo.com,+919443285098,vasanthi_thiag@yahoo.com,Dr. Vasanthi Thiagarajan,vasanthi_thiag@yahoo.com,+919443285098,,,,104000,"Thally Road, Near Railway Gate,",,635109,"Thally Road, Near Railway Gate,",Hosur,Tamil Nadu,635109,CHES17432C,"Thally Road, Near Railway Gate,","Thally Road, Near Railway Gate,"
New School,202033,Vivekananda Educational Centre,,2024,2024-02-20 00:00:00,Ei ASSET,Regular,IN-2022001532,Approved By Logistic Team,201600,201600,201600,168,1200,0,0,,0,0,,0,Installments,2,,2024-05-01 00:00:00,100800,2024-07-31 00:00:00,100800,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-06-11 00:00:00,2024-12-07 00:00:00,201600,213600,-12000,0.2,0.2,,,,,Summer Round,OMR,0,MCQ,,,,CISCE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-04-10 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021135664,51788000002733023,zcrm_51788000264841071,2024-02-20 00:00:00,garima.jain_ei,sourabh.mehta_eiindia,garima.jain@ei.study,Garima jain,Garima Jain,,2024-03-22 10:24:09,Mr. Ravi Shankar,Principal,principalvecjnr@edu.in,+919620193734,vec.jnr@gmail.com,Mr. Ravi Shankar,principalvecjnr@edu.in,+919620193734,Mr. Ravi Shankar,principalvecjnr@edu.in,+919620193734,64000,4Th Block East Jayanagar BENGALURU-560 011,,560011,4Th Block East Jayanagar BENGALURU-560 011,Bengaluru,Karnataka,560011,,4Th Block East Jayanagar BENGALURU-560 011,4Th Block East Jayanagar BENGALURU-560 011
Retention School,20238,The Daly College,,2024,2024-05-07 00:00:00,Ei Mindspark,Regular,IN-2022002025,Approved By Logistic Team,1909789,2253551,0,0,,0,0,,1909789,950,2010,0,Full Payment,,2024-05-01 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,38157,2024-09-10 00:00:00,2024-09-10 00:00:00,2253551,2213049,2345,0.3411,0.3411,,,,,0,,0,MCQ,,,Online,CBSE,Indore,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2024-04-20 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022382800,51788000002728667,zcrm_51788000269123172,2024-05-07 00:00:00,shruti.chauhan_ei,fagun.saraiya_eiindia1,shruti.chauhan@ei.study,Shruti chauhan,Shruti Chauhan,,2024-05-08 07:23:43,Gurmeet Bindra,Principal,fagun.saraiya@ei.study,+917312719001,principal@dalycollege.org,Gurmeet Bindra,fagun.saraiya@ei.study,+917312719001,Naresh Verma,naresh.verma@dalycollege.org,+919926993699,0,"Residency Area, Indore, Madhya Pradesh",,452001,"Residency Area, Indore, Madhya Pradesh",Indore,Madhya Pradesh,452001,BPLT00735A,"Residency Area, Indore, Madhya Pradesh","Residency Area, Indore, Madhya Pradesh"
New School,202559,Amara Jyothi Public School,Dropped,2024,2024-03-20 00:00:00,Ei ASSET,Regular,IN-2022001704,Approved By Logistic Team,243960,243960,243960,271,900,0,0,,0,0,,0,Installments,2,,2024-03-21 00:00:00,121980,2024-06-24 00:00:00,121980,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,14458,2024-03-28 00:00:00,2025-01-24 00:00:00,243960,229501,1,0.5262,0.5262,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021650052,51788000002733026,zcrm_51788000262825426,2024-03-20 00:00:00,garima.jain_ei,mitul.patel_ei1,garima.jain@ei.study,Garima jain,Nebu Abraham,Aruna,2024-03-28 12:48:50,Mrs. Geetha Somanathan,Principal,principal@amarajyothipublicschool.edu.in,+919448074384,principal@amarajyothipublicschool.edu.in,Mrs. Geetha Somanathan,principal@amarajyothipublicschool.edu.in,+919448074384,Ms. Anjana Pal,secondarycoordinator@amarajyothipublicschool.edu.in,+919986365095,93000,"Basavanapura Main Road, Devasandra,Near Silicon City College, Krishnarajapura, Bengaluru, Karnataka",,560036,"Basavanapura Main Road, Devasandra,Near Silicon City College, Krishnarajapura, Bengaluru, Karnataka",Bengaluru,KARNATAKA,560036,BLRA11481B,"Basavanapura Main Road, Devasandra,Near Silicon City College, Krishnarajapura, Bengaluru, Karnataka","Basavanapura Main Road, Devasandra,Near Silicon City College, Krishnarajapura, Bengaluru, Karnataka"
Retention School,20480,Queens College,,2024,2024-05-07 00:00:00,Ei CARES,Regular,IN-2022002023,Approved By Logistic Team,1295640,1295640,0,0,,1295640,708,1830,0,0,,0,Installments,3,,2024-05-08 00:00:00,440518,2024-07-01 00:00:00,427561,2024-10-01 00:00:00,427561,2000-01-01 00:00:00,0,85648,2024-06-26 00:00:00,2025-06-19 00:00:00,1295640,1159487,50505,0.634,0.634,,,,,0,,8,MCQ,Printing By School,OMR,,CBSE,Indore,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022382712,51788000002728669,zcrm_51788000269123411,2024-05-07 00:00:00,shruti.chauhan_ei,fagun.saraiya_eiindia1,shruti.chauhan@ei.study,Shruti chauhan,Shruti Chauhan,,2024-05-08 09:10:08,Geetha Somasekharan,Principal,queenscollegeindore@gmail.com,+917902381681,queenscollegeindore@rediffmail.com,Geetha Somasekharan,queenscollegeindore@gmail.com,+917902381681,Sumit Sahu,sumeet.sahu@queenscollegeindore.org,+918103405051,0,"Khandwa Road, Post Kasturba Gram,",,452017,"Khandwa Road, Post Kasturba Gram,",Indore,Madhya Pradesh,452017,BPLD00937G,"Khandwa Road, Post Kasturba Gram,","Khandwa Road, Post Kasturba Gram,"
Retention School,205449,The Riverside School,,2024,"2024-02-21 00:00:00, 2024-03-11 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022001534, IN-2022001602",Approved By Logistic Team,547326,593457,291042,240,1213,0,0,,256284,120,2136,0,Installments,"2, 4",,"2024-03-11 00:00:00, 2024-03-20 00:00:00","75604, 87313","2024-06-30 00:00:00, 2024-10-31 00:00:00","203729, 75604","2000-01-01 00:00:00, 2024-09-09 00:00:00","0, 75604","2000-01-01 00:00:00, 2024-11-20 00:00:00","0, 75604","3843, 6036","2024-03-29 00:00:00, 2024-04-10 00:00:00","2024-11-21 00:00:00, 2025-09-12 00:00:00","291042, 302416","295755, 296749","-10749, 1824","0.126, 0.3","0.076, 0.25",,,,0.05,"0, Winter Round",Online,0,MCQ,,,Online,CISCE,Ahmedabad,Gujarat,West,Gujarat,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021151528, 22028000021468424",51788000002733052,"zcrm_51788000265590001, zcrm_51788000266645003","2024-02-21 00:00:00, 2024-03-11 00:00:00",pooja.joshi_eiindia1,fagun.saraiya_eiindia1,pooja.joshi@ei.study,Pooja joshi,Ishita Jethwa,,"2024-02-28 17:58:05, 2024-04-01 17:29:23",Ritu Agrawal,Other,ritu@schoolriverside.com,"+919824804026, +919879475569",inquiry@schoolriverside.com,,,,,,,0,"307, Behind C.S.D Depot, Off Airport Road, Cantonment",,380004,"307, Behind C.S.D Depot, Off Airport Road, Cantonment",Ahmedabad,Gujarat,380004,AHMR02519G,"307, Behind C.S.D Depot, Off Airport Road, Cantonment","307, Behind C.S.D Depot, Off Airport Road, Cantonment"
1-year School,2057359,N. H. Goel World School,,2024,2024-04-16 00:00:00,Ei CARES,Regular,IN-2022001917,Approved By Logistic Team,932910,932910,0,0,,932910,533,1750,0,0,,0,Installments,2,,2024-04-22 00:00:00,466455,2024-11-25 00:00:00,466455,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,19463,2024-06-21 00:00:00,2024-12-17 00:00:00,932910,953704,-40257,0.239,0.239,,,,,0,,4,MCQ + Subjective,Printing By EI,OMR,,CBSE,Raipur,Chhattisgarh,North,MP/Chattisgarh,National Sales,2024-06-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022101848,51788000002767001,zcrm_51788000268529381,2024-04-16 00:00:00,sandeep.jain_eiindia1,fagun.saraiya_eiindia1,sandeep.jain@ei.study,Sandeep jain,Rohit Kumar,,2024-04-19 12:42:26,Mr. Vinod Sir,Admin,nhps@gmail.com,+919754944903,principal@nhgoel.com,,,,,,,18000,"Post Nardaha, Near Pura Project, Vidhan Sabha Road,",,493111,"Post Nardaha, Near Pura Project, Vidhan Sabha Road,",Raipur,Chhattisgarh,493111,JBPJ01094C,"Post Nardaha, Near Pura Project, Vidhan Sabha Road,","Post Nardaha, Near Pura Project, Vidhan Sabha Road,"
New School,20577,Ahmedabad International School,,2024,2024-01-07 00:00:00,Ei Mindspark,Regular,IN-2022001387,Approved By Logistic Team,1058697,1249262,0,0,,0,0,,1058697,694,1526,0,Full Payment,,2024-04-01 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-05-27 00:00:00,2024-05-27 00:00:00,1249262,1235654,13608,0.5,0.5,,,,,0,,0,MCQ,,,Online,Cambridge,Ahmedabad,Gujarat,West,Gujarat,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020549828,51788000002728670,zcrm_51788000262266171,2024-01-07 00:00:00,nakul.swamy_ei,fagun.saraiya_eiindia1,nakul.swamy@ei.study,Nakul swamy,Nakul Swamy,,2024-01-08 10:53:49,Mr. Deepanshu Arora,School Owner,deepanshu@aischool.net,+919999158550,pradnya.mehta@aisschool.net,,,,,,,449000,"Opposite Rajpath Row House, Behind Kiran Motors, Judges Bunglow Road, Bodakdev,",,380054,"Opposite Rajpath Row House, Behind Kiran Motors, Judges Bunglow Road, Bodakdev,",Ahmedabad,Gujarat,380054,AHMJ00139G,"Opposite Rajpath Row House, Behind Kiran Motors, Judges Bunglow Road, Bodakdev,","Opposite Rajpath Row House, Behind Kiran Motors, Judges Bunglow Road, Bodakdev,"
