School Type,School No,School Name,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,,OV-2026,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
Retention School,2562124,Gopal's Garden High School,2026,2026-01-27 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022004262, IN-2022004263",Approved By Logistic Team,,1503878,1624340,1865223,286102,447,640,0,0,,1338238,564,2373,0,Installments,2,,2026-03-16 00:00:00,"394780, 71526",2026-08-31 00:00:00,"1184341, 214577",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-02-27 00:00:00,2026-02-27 00:00:00,0,"361324, 64373","-361324, -64373","0.2223, 0.5733","0.2223, 0.5733",,,,,"0, Summer Round",OMR,0,MCQ,,,Online,CISCE,Mumbai,Maharashtra,West,Mumbai,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000036716152, 22028000036716192",51788000002776921,"zcrm_51788000305505041, zcrm_51788000305505204",2026-01-27 00:00:00,hetal.parmar_ei,hakim.kanchwala_eiindia1,hetal.parmar@ei.study,Hetal parmar,Shahista Shaikh,,"2026-03-05 23:44:19, 2026-03-05 23:45:13",Ms. Rajas Sardesai Bhosale,Principal,principalgopalsgarden@gmail.com,+919920591291,shilpa@gopalsgarden.com,Ms. Rajas Sardesai Bhosale,principalgopalsgarden@gmail.com,+919920591291,Mr.Shashank,shashank.gghs@gmail.com,+919867227975,0,"Plot No. 1, Near National Park, Kulupwadi, Borivali(East),",,400066,,Mumbai,Maharashtra,400066,MUMS43249D,"Plot No. 1, Near National Park, Kulupwadi, Borivali(East),","Plot No. 1, Near National Park, Kulupwadi, Borivali(East),"
New School,27561,The Home School,2026,2025-12-17 00:00:00,Ei ASSET,Regular,IN-2022004148,Approved By Logistic Team,,#N/A,213991,213991,213991,214,1000,0,0,,0,0,,0,Installments,2,,2025-12-18 00:00:00,106996,2026-04-30 00:00:00,106996,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-02-27 00:00:00,2026-02-27 00:00:00,106996,6996,100000,0.16670000000000001,0.16670000000000001,,,,,Summer Round,Online,0,MCQ,,,,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2026-06-01 00:00:00,2027-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000035848128,51788000002728840,zcrm_51788000298918055,2025-12-17 00:00:00,baskaran.p1_ei,mitul.patel_ei1,baskaran.p1@ei.study,Baskaran p1,Baskaran P,,2026-03-02 14:22:51,Ms. Ratna Durga Priyanka,Principal,principal@thehomeschool.in,+918088078403,principal@thehomeschoolbangalore.com,Ratna Durga Priyanka,principal@thehomeschool.in,+918088078403,Ratna Durga Priyanka,principal@thehomeschool.in,+918088078403,107000,"#4, Hara Layout, Opp. Shoba Apartments, Thalaghattapura Post,",,560004,"#4, Hara Layout, Opp. Shoba Apartments, Thalaghattapura Post,",Bengaluru,KARNATAKA,560004,,"No 4, U M Kaval, Thalaghattapura, Kanakapura Road,Opposite To Shobha Apartments, Bangalore, Bengaluru, Karnataka","No 4, U M Kaval, Thalaghattapura, Kanakapura Road,Opposite To Shobha Apartments, Bangalore, Bengaluru, Karnataka"
New School,2827739,Vriksha Global School,2026,"2025-11-15 00:00:00, 2025-11-20 00:00:00","Ei CARES, Ei Mindspark",Regular,"IN-2022004074, IN-2022004089",Approved By Logistic Team,,0,1080881,1170049,0,0,,585503,366,1600,495378,487,1017,0,Installments,4,,"2025-11-16 00:00:00, 2025-11-19 00:00:00","146137, 146376","2026-05-15 00:00:00, 2026-06-15 00:00:00","146137, 146376","2026-08-15 00:00:00, 2026-09-15 00:00:00","146137, 146376",2026-12-15 00:00:00,"146137, 146376",0,2025-11-17 00:00:00,2025-11-17 00:00:00,"146137, 146376","0, 237900","-91524, 146137","0.5905, 0.6666","0.5905, 0.6666",,,,,0,,"0, 6","MCQ, MCQ + Subjective",Printing By EI,OMR,Online,CBSE,Namakkal,Tamil Nadu,South,Tamil Nadu,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000034754240, 22028000034910296",51788000002781331,"zcrm_51788000277952187, zcrm_51788000300739066","2025-11-15 00:00:00, 2025-11-20 00:00:00",praveenkumar.rajamanickam_ei,hakim.kanchwala_eiindia1,praveenkumar.rajamanickam@ei.study,Praveenkumar rajamanickam,Praveenkumar Rajamanickam,,"2025-11-24 18:08:30, 2025-11-24 18:08:55","Mr. Harinivas ., Mr. Mr Harinivas .",School Owner,vrikshaschool@gmail.com,+917373733433,vrikshaglobal@gmail.com,Mrs Yamini,vrikshaschool@gmail.com,+917373733433,Mrs Yamini,vrikshaschool@gmail.com,+917373733433,80000,"Kozhikaalnatham Road, Thiruchengode",,637211,"Kozhikaalnatham Road, Thiruchengode",Namakkal,Tamil Nadu,637211,,.,"Kozhikaalnatham Road, Thiruchengode"
Retention School,3106413,Gems Genesis International School,2026,"2026-02-20 00:00:00, 2026-02-24 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022004376, IN-2022004416",Approved By Logistic Team,,1691164,2012250,2272282,567629,479,1185,0,0,,1444621,515,2805,0,"Full Payment, Installments",4,2026-02-28 00:00:00,"2000-01-01 00:00:00, 2026-02-28 00:00:00","0, 426163","2000-01-01 00:00:00, 2026-07-31 00:00:00","0, 426163","2000-01-01 00:00:00, 2026-09-30 00:00:00","0, 426163","2000-01-01 00:00:00, 2026-11-30 00:00:00","0, 426163",0,,,"426163, 567629",0,"426163, 567629","0.0806, 0.40700000000000003","0.0806, 0.257",0.1,,,0.05,"0, Summer Round",OMR,0,MCQ,,,Online,CBSE,Ahmedabad,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000037403392, 22028000037529204",51788000002786962,"zcrm_51788000307178164, zcrm_51788000307397001","2026-02-20 00:00:00, 2026-02-24 00:00:00",ishita.jethwa_ei,fagun.saraiya_eiindia1,ishita.jethwa@ei.study,Ishita jethwa,Ishita Jethwa,,"2026-02-25 13:37:42, 2026-02-25 13:37:56",Shivani Raval,Principal,shivani.raval@theggis.com,+919925999010,accounts@theggis.com,Shivani Raval,shivani.raval@theggis.com,+919925999010,Vaishali Purohit,vaishali.purohit@theggis.com,+919427089607,0,"Near Vaishnodevi Circle, SP Ring Road",,382421,,Ahmedabad,Gujarat,382421,AHMS19414D,"Near Vaishnodevi Circle, SP Ring Road","Near Vaishnodevi Circle, SP Ring Road"
1-year School,3146020,"Sunbeam School , Ballia",2026,2025-11-06 00:00:00,Ei CARES,Regular,IN-2022004044,Approved By Logistic Team,,#N/A,720096,720096,0,0,,720096,600,1200,0,0,,0,Installments,4,,2026-04-25 00:00:00,180024,2026-07-25 00:00:00,180024,2026-10-25 00:00:00,180024,2026-12-25 00:00:00,180024,0,,,0,0,0,0.5384,0.5384,,,,,0,,4,MCQ,Printing By EI,OMR,,CBSE,Ballia,Uttar Pradesh,North,UP/Uttarakhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000034539224,51788000002787765,zcrm_51788000299930210,2025-11-06 00:00:00,rajat.saxena_ei,fagun.saraiya_eiindia1,rajat.saxena@ei.study,Rajat saxena,Rajat Saxena,,2025-11-07 17:52:40,Mrs. Arpita Singh,Principal,principalsunbeamballia@gmail.com,+917755005905,sunbeamballia2131962@gmail.com,Mrs. Arpita Singh,principalsunbeamballia@gmail.com,+917755005905,Mrs. Arpita Singh,principalsunbeamballia@gmail.com,+917755005905,59700,"Village Agarsanda, Garwar Road, Post Office Ballia",,277001,"Near Hanuman Temple, Agarsanda, Ballia",Ballia,Uttar Pradesh,277001,,"Village Agarsanda, Garwar Road, Post Office Ballia","Village Agarsanda, Garwar Road, Post Office Ballia"
New School,3150853,Burdwan Model School,2026,2026-02-10 00:00:00,Ei CARES,Regular,IN-2022004316,Approved By Logistic Team,,#N/A,345643,345643,0,0,,345643,432,800,0,0,,0,Installments,4,,2026-04-05 00:00:00,86411,2026-07-05 00:00:00,86411,2026-10-05 00:00:00,86411,2026-12-30 00:00:00,86411,0,2026-02-11 00:00:00,2026-02-11 00:00:00,0,15000,-15000,0.5555,0.5555,,,,,0,,2,MCQ + Subjective,Printing By EI,OMR,,CBSE,Burdwan,West Bengal,East,West Bengal,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037134124,51788000002787812,zcrm_51788000306421073,2026-02-10 00:00:00,rudra.mishra_ei,mitul.patel_ei1,rudra.mishra@ei.study,Rudra mishra,Rudra Mishra,,2026-02-12 11:48:27,Mr. Bipin Bihari Singh,Principal,oaer.bms@gmail.com,+918373049058,info@burdwanmodelschool.ac.in,Mr. Bipin Bihari Singh,oaer.bms@gmail.com,+918373049058,Mr. Bipin Bihari Singh,oaer.bms@gmail.com,+918373049058,0,"Bardhaman Katwa Rd, Dewandighi, Mirzapur, West Bengal 713407",,713102,"Bardhaman Katwa Rd, Dewandighi, Mirzapur, West Bengal 713407",Burdwan,West Bengal,713102,,"Mirzapur (Dewandighi), Katwa Road, ,Burdwan,West Bengal - 713102","Mirzapur (Dewandighi), Katwa Road, ,Burdwan,West Bengal - 713102"
Retention School,3152932,Aster Public School,2026,2026-01-22 00:00:00,Ei Mindspark,Regular,IN-2022004256,Approved By Logistic Team,,2134907,1942333,2291953,0,0,,0,0,,1942333,1214,1600,0,Installments,4,,2026-04-01 00:00:00,572988,2026-07-01 00:00:00,572988,2026-10-01 00:00:00,572988,2026-12-01 00:00:00,572988,0,,,0,0,0,0.4756,0.4756,,,,,0,,0,MCQ,,,Online,CBSE,Greater Noida,Uttar Pradesh,North,NCR,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036541216,51788000002787833,zcrm_51788000305271033,2026-01-22 00:00:00,anushka.gupta_ei,maruf.shaikh1,anushka.gupta@ei.study,Anushka gupta,Puneet Khurana,,2026-01-24 14:42:17,Mr. Siddharth Sharma,School Owner,siddharth.sharma@wlis.org,+919582899999,info@asterpublicschool.com,Preeti Sharma,preeti.sharma@asterinstitutions.com,+919810540560,Pragya Singh,pragyasingh.apsgn@asterinstitutions.com,+919810540560,74500,"J-1, Delta II,",,201308,"J-1, Delta 2",Greater Noida,Uttar Pradesh,201308,DELA08978E,"J-1, Delta II, Greater Noida, G.B. Nagar,","J-1, Delta II, Greater Noida, G.B. Nagar,"
New School,3166222,Ies Public School,2026,2026-02-12 00:00:00,Ei Mindspark,Regular,IN-2022004337,Approved By Logistic Team,,#N/A,311456,367518,0,0,,0,0,,311456,175,1780,0,Installments,4,,2026-02-23 00:00:00,91880,2026-07-14 00:00:00,91880,2026-10-20 00:00:00,91880,2026-12-14 00:00:00,91880,0,,,91880,0,91880,0.65,0.65,,,,,0,,0,MCQ,,,Online,CBSE,Bhopal,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037190376,51788000002788167,zcrm_51788000254509314,2026-02-12 00:00:00,sanjay.rai_eiindia1,fagun.saraiya_eiindia1,sanjay.rai@ei.study,Sanjay rai,Sanjay Rai,Pooja Joshi,2026-02-16 12:43:19,Mr Shushil Dwivedi,Principal,principalt@iespublicschool.ac.in,+917974333548,principal@iespublicschool.ac.in,Mr Shushil Dwivedi,principal@iespublicschool.ac.in,+917974333548,Mr Shushil Dwivedi,principal@iespublicschool.ac.in,+917974333548,36300,Kalikheda,,462044,Kalkheda,Bhopal,Madhya Pradesh,462044,,"Kalkheda, Ratibad Main Road","Kalkheda, Ratibad Main Road"
Retention School,3187497,Sir Mutha School,2026,2026-01-23 00:00:00,"Ei ASSET, Ei CARES",Regular,"IN-2022004258, IN-2022004259, IN-2022004260",Approved By Logistic Team,,1113742,1307820,1307820,967624,574,"0, 1725",340196,189,1800,0,0,,0,"Full Payment, Installments",2,2026-04-15 00:00:00,"2000-01-01 00:00:00, 2026-04-15 00:00:00","0, 170098, 483812","2000-01-01 00:00:00, 2026-10-01 00:00:00","0, 170098, 483812",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,"0.0922, 0.3077, 1","0.0922, 0.3077, 1",,,,,"0, Summer Round",OMR,"0, 4",MCQ,Printing By EI,OMR,,CBSE,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2026-04-01 00:00:00,"2027-03-31 00:00:00, 2027-04-30 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000036533148, 22028000036573120, 22028000036589052",51788000002788582,"zcrm_51788000304629194, zcrm_51788000305360001, zcrm_51788000305360164",2026-01-23 00:00:00,vineeth.v_ei,hakim.kanchwala_eiindia1,vineeth.v@ei.study,Vineeth v,Makara Jyothi,,"2026-02-03 11:49:22, 2026-02-03 11:49:37, 2026-02-03 11:49:53",Mrs. Samaira Tandon,"Other, Principal",info@sirmuthaschool.edu.in,+917358600553,principal@srimuthaschool.com,Mrs. Samaira Tandon,principal.srschool@sirmuthaschool.edu.in,+917358600553,Mrs Shonali,"admin@sirmuthaschool.edu.in, info@sirmuthaschool.edu.in",+917358600553,70000,"The Madras Seva Sadan Unit, Sir Mutha School",,600031,"The Madras Seva Sadan Unit, Sir Mutha School",Chennai,Tamil Nadu,600031,,"""SHENSTONE PARK"" #7, HARRINGTON ROAD, CHETPUT","""SHENSTONE PARK"" #7, HARRINGTON ROAD, CHETPUT"
New School,3206686,Kerala Public School,2026,2026-03-11 00:00:00,Ei ASSET,Regular,IN-2022004514,Approved By Logistic Team,,#N/A,498000,498000,498000,830,600,0,0,,0,0,,0,Installments,2,,2026-06-15 00:00:00,249000,2026-08-15 00:00:00,249000,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-03-12 00:00:00,2026-03-12 00:00:00,0,0,0,0.6,0.6,,,,,Summer Round,OMR,0,MCQ,,,,CISCE,Jamshedpur,Jharkhand,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037824144,51788000002788977,zcrm_51788000308245585,2026-03-11 00:00:00,fayiez.ahmad_ei,mitul.patel_ei1,fayiez.ahmad@ei.study,Fayiez ahmad,Fayiez Ahmad,Himanshi Yadav,2026-03-13 14:34:10,Mr. Sharat Chandran,School Owner,kpsgamharia@yahoo.co.in,+919431133895,rashmi8439_jsr@rediffmail.com,Rashmi Sinha,kpsgamharia@yahoo.co.in,+919431526104,Rashmi Sinha,kpsgamharia@yahoo.co.in,+919431526104,6500,0,,832108,Tata Kandra Main rd,Jamshedpur,Jharkhand,832108,,"Main Road, Saraikela-Kharsawa, Gamharia, Jamshedpur, Jharkhand 832108","Main Road, Saraikela-Kharsawa, Gamharia, Jamshedpur, Jharkhand 832108"
Retention School,3216662,St. Xavier'S School,2026,2026-03-09 00:00:00,Ei CARES,Regular,IN-2022004493,Approved By Logistic Team,,242550,175318,175318,0,0,,175318,122,1437,0,0,,0,Full Payment,,2026-03-16 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,0.6437999999999999,0.5438000000000001,0.1,,,,0,,2,MCQ + Subjective,Printing By EI,OMR,,CISCE,kalimpong,West Bengal,East,West Bengal,National Sales,2026-03-20 00:00:00,2027-03-15 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037764320,51788000002789070,zcrm_51788000307087028,2026-03-09 00:00:00,gargi.ghosh_ei,mitul.patel_ei1,gargi.ghosh@ei.study,Gargi ghosh,Partha Pratim Das,,2026-03-11 16:28:16,Rajani Mondal,Principal,sxs_damsang@yahoo.com,+917407003604,sxs_damsang@yahoo.com,Rajani Mondal,sxs_damsang@yahoo.com,+917407003604,Rajani Mondal,sxs_damsang@yahoo.com,+917407003604,36000,Kalimpong,,734311,21st Mile Pedong,kalimpong,West Bengal,734311,CALS17392E,21st Mile Pedong,21st Mile Pedong
1-year School,3218539,St. Xavier’s High School- Keonjhar,2026,2025-12-16 00:00:00,Ei CARES,Regular,IN-2022004139,Approved By Logistic Team,,859394,879043,879043,0,0,,879043,666,1320,0,0,,0,Installments,4,,2026-03-20 00:00:00,219761,2026-07-20 00:00:00,219761,2026-10-20 00:00:00,219761,2026-12-20 00:00:00,219761,0,,,0,0,0,0.5626,0.5626,,,,,0,,0,MCQ + Subjective,Printing By EI,OMR,,CBSE,Keonjhar,Odisha,East,Odisha,National Sales,2026-03-06 00:00:00,2027-02-28 00:00:00,Regular School: Active school with student count and rate per student defined,22028000035790464,51788000002789191,zcrm_51788000302530333,2025-12-16 00:00:00,sanjeet.das_eiindia1,mitul.patel_ei1,sanjeet.das@ei.study,Sanjeet das,Sanjeet Das,,2026-02-20 10:43:51,Ms. Kiran Bharti Sahoo,School Owner,bharti.kiran3106@gmail.com,+919348705166,stxavierkjr@gmail.com,Dr.Dibya Kishor Pradhan,stxavierkjr@gmail.com,+918763206211,Kamal Lochan Sahoo,kamal.chem1999@gmail.com,+917008764012,3600,"Naigaon, Dimbo",,758014,Naigaon,Keonjhar,Odisha,758014,,"Naigaon, Dimbo, Dist : Keonjhar â 758014, Odisha, India","Naigaon, Dimbo, Dist : Keonjhar â 758014, Odisha, India"
New School,3221470,St. Karen's Primary School,2026,2026-02-17 00:00:00,Ei ASSET,Regular,IN-2022004358,Approved By Logistic Team,,#N/A,454935,454935,454935,650,700,0,0,,0,0,,0,Installments,4,,2026-05-30 00:00:00,113734,2026-06-30 00:00:00,113734,2026-10-31 00:00:00,113734,2026-12-31 00:00:00,113734,0,2026-02-26 00:00:00,2026-02-26 00:00:00,0,18000,-18000,0.5334,0.5334,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Patna,Bihar,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037343248,51788000002789220,zcrm_51788000305934144,2026-02-17 00:00:00,ajit.ojha_eiindia,mitul.patel_ei1,ajit.ojha@ei.study,Ajit ojha,Ajit Ojha,,2026-03-03 10:36:36,L.B. Galstaun,Principal,stkarensprimary@gmail.com,+919631105730,stkarensprimary@gmail.com,Mrs. L.B. Galstaun,stkarensprimary@gmail.com,+919631105730,Mrs. L.B. Galstaun,stkarensprimary@gmail.com,+919631105730,28000,142/D,,800001,Patna,Patna,Bihar,800001,,Patna,Patna
New School,3224798,Mount Columbus School,2026,2025-11-29 00:00:00,Ei Mindspark,Regular,IN-2022004114,Approved By Logistic Team,,#N/A,1086937,1282586,0,0,,0,0,,1086937,1001,1086,0,Installments,4,,2025-12-20 00:00:00,320647,2026-07-01 00:00:00,320647,2026-10-01 00:00:00,320647,2026-12-21 00:00:00,320647,0,2025-12-18 00:00:00,2025-12-18 00:00:00,320647,100000,220647,0.6441,0.5941,,0.05,,,0,,0,MCQ,,,Online,CBSE,Delhi,Delhi,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000035210200,51788000002789253,zcrm_51788000296722365,2025-11-29 00:00:00,puneet.khurana_ei,fagun.saraiya_eiindia1,puneet.khurana@ei.study,Puneet khurana,Puneet Khurana,,2025-12-19 17:20:52,Ms. Aditi Roy,Principal,principal@mountcolumbus.in,+918800988502,,Ms. Aditi Roy,Principal@mountcolumbus.com,+918800988502,Ms. Aditi Roy,Principal@mountcolumbus.com,+918800988502,0,"C-Block,Dakshinpuri, Delhi, Delhi",,110062,"C-Block,Dakshinpuri, Delhi, Delhi",Delhi,Delhi,110062,,"C-Block,Dakshinpuri, Delhi, Delhi","C-Block,Dakshinpuri, Delhi, Delhi"
1-year School,3253126,"Manav Rachna International School - Charmwood, Faridabad",2026,2026-01-19 00:00:00,Ei ASSET,Regular,IN-2022004239,Approved By Logistic Team,,313200,297000,297000,297000,495,600,0,0,,0,0,,0,Installments,2,,2026-01-19 00:00:00,148500,2026-09-01 00:00:00,148500,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,148500,0,148500,0.6,0.6,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Faridabad,Haryana,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036442560,51788000002789842,zcrm_51788000302449371,2026-01-19 00:00:00,puneet.khurana_ei,maruf.shaikh1,puneet.khurana@ei.study,Puneet khurana,Puneet Khurana,,2026-01-24 14:38:01,Ms. Sabreena Talwar,Principal,directorprincipal.mriscw@mris.edu.in,+919999393856,directorprincipal.mriscw@mris.edu.in,Ms. Sabreena Talwar,directorprincipal.mriscw@mris.edu.in,+919999393856,Ms. Manu Vijayan,manu.mriscw@mris.edu.in,+919899150234,15000,Eros Garden,,121009,Eros Garden,Faridabad,Haryana,121009,,"Eros Garden – Charmwood Village, Delhi – Surajkund Road","Eros Garden – Charmwood Village, Delhi – Surajkund Road"
Retention School,3270957,The Pentecostal Assembly School,2026,2026-01-28 00:00:00,"Ei ASSET,Ei CARES",Regular,IN-2022004272,Approved By Logistic Team,,1681317,1496782,1496782,607869,1033,588,888913,509,1746,0,0,,0,Full Payment,,2026-02-16 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-03-10 00:00:00,2026-03-10 00:00:00,1496782,1496782,0,0.6077,0.6077,,,,,Summer Round,OMR,6,MCQ + Subjective,Printing By EI,OMR,,CBSE,Bokaro,Jharkhand,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036784304,51788000002790221,zcrm_51788000305609035,2026-01-28 00:00:00,gargi.ghosh_ei,mitul.patel_ei1,gargi.ghosh@ei.study,Gargi ghosh,Mayukh Chowdhury,,2026-02-02 10:41:10,Mr. Daniel Prasad,School Owner,daniel.prasad@pasbokaro.com,+919934363077,info@pasbokaro.com,Dr. Karuna Prasad,daniel.prasad@pasbokaro.com,+919934363077,Dr. Karuna Prasad,daniel.prasad@pasbokaro.com,+919934363077,36000,The Pentecostal Assembly School,,827012,Sector 12 Bokaro Steel City,Bokaro,Jharkhand,827012,,Bokaro Steel City,Sector 12 Bokaro Steel City
Retention School,3284326,The Kirk View School,2026,"2025-12-24 00:00:00, 2025-12-26 00:00:00","Ei ASSET, Ei CARES, Ei Mindspark",Regular,"IN-2022004164, IN-2022004165, IN-2022004167, IN-2022004168",Approved By Logistic Team,,1031051,1251138,1398487,151308,216,700,281227,356,"760, 826",818603,483,1695,0,Installments,4,,2026-03-20 00:00:00,"241488, 33642, 36665, 37827",2026-07-20 00:00:00,"241488, 33642, 36665, 37827",2026-10-20 00:00:00,"241488, 33642, 36665, 37827",2026-12-31 00:00:00,"241488, 33642, 36665, 37827",0,,,0,0,0,"0.5329999999999999, 0.6667000000000001, 0.851, 0.9224","0.5329999999999999, 0.6667000000000001, 0.851, 0.9224",,,,,"0, Winter Round",OMR,"0, 6",MCQ,Printing By School,OMR,Online,CISCE,Gaya,Bihar,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000036016800, 22028000036016852, 22028000036016976, 22028000036040064",51788000002790457,"zcrm_51788000303365001, zcrm_51788000303442032, zcrm_51788000303442193, zcrm_51788000303442357","2025-12-24 00:00:00, 2025-12-26 00:00:00",gargi.ghosh_ei,mitul.patel_ei1,gargi.ghosh@ei.study,Gargi ghosh,Gargi Ghosh,,"2025-12-30 14:06:34, 2025-12-30 14:06:52, 2025-12-30 14:07:51, 2025-12-30 14:08:14",Mr. Prabuddha Chatterjee,School Owner,principal@tkvs.org,+918051725111,principal@tkvs.org,Mr. Prabuddha Chatterjee,principal@tkvs.org,+918051725111,Mr. Prabuddha Chatterjee,principal@tkvs.org,+918051725111,0,Kirk View Church Raod,,823001,,Gaya,Bihar,823001,,Opposite Gaya Museum,"Kirk View Church Road, South Gandhi Maidan, Opposite Gaya Museum"
Key Account,3302667,Navrachana International School,2026,2026-02-28 00:00:00,Ei ASSET,Regular,IN-2022004452,Approved By Logistic Team,,493638,368774,368774,368774,438,842,0,0,,0,0,,0,Installments,2,,2026-03-02 00:00:00,92194,2026-04-10 00:00:00,276581,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-03-09 00:00:00,2026-03-09 00:00:00,92194,92144,50,0.4387,0.3887,,,,0.05,Summer Round,OMR,0,MCQ,,,,CBSE,Vadodara,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037570984,51788000002790843,zcrm_51788000307223428,2026-02-28 00:00:00,heena.kumar_ei,fagun.saraiya_eiindia1,heena.kumar@ei.study,Heena kumar,Heena Kumar,,2026-03-11 09:11:08,Mrs. Kashmira Jaiswal,Principal,principal@navrachana.ac.in,+919376233930,Principal@navrachana.ac.in,Mrs. Kashmira Jaiswal,principal@navrachana.ac.in,+919376233930,Mrs. Kashmira Jaiswal,principal@navrachana.ac.in,+919376233930,151300,"Vasna - Bhayali Main Rd, Bhayali,",,391410,Vasna Bhayali Road,Vadodara,Gujarat,391410,BRDN01994G,Vasna Bhaiyali Road. Vadodara,Vasna Bhaiyali Road. Vadodara
